quiz_id,position,question,option_1,option_2,option_3,option_4,correct_index,correct_answer
general,1,[Set 4] How many continents are there on Earth?,5,6,7,8,2,7
general,2,[Set 4] Which is the largest ocean in the world?,Atlantic,Indian,Arctic,Pacific,3,Pacific
general,3,[Set 4] How many colors are there in a rainbow?,5,6,7,8,2,7
general,4,[Set 4] Which is the smallest country in the world?,Monaco,Vatican City,Malta,San Marino,1,Vatican City
general,5,[Set 4] What is the national sport of Japan?,Judo,Karate,Sumo Wrestling,Kendo,2,Sumo Wrestling
general,6,[Set 4] What is the hardest natural substance on Earth?,Gold,Iron,Diamond,Quartz,2,Diamond
general,7,[Set 4] Which planet has the most moons?,Jupiter,Saturn,Uranus,Neptune,1,Saturn
general,8,[Set 4] What is the main language spoken in Brazil?,Spanish,Portuguese,French,Italian,1,Portuguese
general,9,[Set 4] How many teeth does an adult human have?,28,30,32,34,2,32
general,10,[Set 4] What is the longest river in the world?,Amazon,Nile,Mississippi,Yangtze,1,Nile
science,1,[Set 4] What is the chemical symbol for gold?,Go,Gd,Au,Ag,2,Au
science,2,[Set 4] How many bones are in the adult human body?,186,196,206,216,2,206
science,3,[Set 4] Which gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Hydrogen,Carbon dioxide,3,Carbon dioxide
science,4,[Set 4] What is the approximate speed of light?,"300,000 km/s","150,000 km/s","1,000 km/s","30,000 km/s",0,"300,000 km/s"
science,5,[Set 4] What is the chemical formula of water?,CO2,H2O,O2,NaCl,1,H2O
science,6,[Set 4] What planet has the Great Red Spot?,Mars,Jupiter,Saturn,Neptune,1,Jupiter
science,7,[Set 4] What is the powerhouse of the cell?,Nucleus,Ribosome,Mitochondria,Golgi body,2,Mitochondria
science,8,[Set 4] Which element has the atomic number 1?,Helium,Oxygen,Carbon,Hydrogen,3,Hydrogen
science,9,[Set 4] What type of rock is formed by volcanic activity?,Sedimentary,Metamorphic,Igneous,Limestone,2,Igneous
science,10,[Set 4] What force keeps us on the ground?,Magnetism,Friction,Gravity,Inertia,2,Gravity
maths,1,[Set 4] What is the value of pi rounded to two decimal places?,3.41,3.14,3.12,3.16,1,3.14
maths,2,[Set 4] What is 12 x 12?,124,132,144,156,2,144
maths,3,[Set 4] Which of these numbers is prime?,21,27,29,33,2,29
maths,4,[Set 4] What is the square root of 169?,11,12,13,14,2,13
maths,5,[Set 4] The angles of a triangle always add up to how many degrees?,90,180,270,360,1,180
maths,6,[Set 4] What is the next prime number after 7?,8,9,10,11,3,11
maths,7,[Set 4] How many degrees are in a right angle?,45,60,90,180,2,90
maths,8,[Set 4] What is 15% of 200?,15,25,30,35,2,30
maths,9,[Set 4] What is the Roman numeral for 50?,X,L,C,D,1,L
maths,10,"[Set 4] What is the value of the digit 5 in the number 5,832?",5,50,500,5000,3,5000
history,1,[Set 4] Who was the first President of the United States?,Thomas Jefferson,George Washington,John Adams,Abraham Lincoln,1,George Washington
history,2,[Set 4] In which year did World War II end?,1943,1944,1945,1946,2,1945
history,3,[Set 4] The Great Pyramid of Giza is located in which country?,Mexico,Sudan,Iraq,Egypt,3,Egypt
history,4,[Set 4] Who invented the telephone?,Thomas Edison,Nikola Tesla,Alexander Graham Bell,James Watt,2,Alexander Graham Bell
history,5,[Set 4] Which Roman leader was assassinated in 44 BC?,Augustus,Julius Caesar,Nero,Constantine,1,Julius Caesar
history,6,[Set 4] In which year did the Titanic sink?,1905,1912,1918,1923,1,1912
history,7,[Set 4] Who wrote the Declaration of Independence?,George Washington,Benjamin Franklin,Thomas Jefferson,John Adams,2,Thomas Jefferson
history,8,[Set 4] The ancient city of Rome was built on how many hills?,5,6,7,8,2,7
history,9,[Set 4] Which empire was ruled by Genghis Khan?,Ottoman,Mongol,Roman,Persian,1,Mongol
history,10,[Set 4] What year did the Berlin Wall fall?,1987,1989,1991,1993,1,1989
geography,1,[Set 4] Which is the highest mountain above sea level?,K2,Mount Everest,Kangchenjunga,Denali,1,Mount Everest
geography,2,[Set 4] What is the capital of Australia?,Sydney,Melbourne,Canberra,Perth,2,Canberra
geography,3,[Set 4] Which country has the largest population?,China,India,USA,Indonesia,1,India
geography,4,[Set 4] Which country is known as the Land of the Rising Sun?,China,South Korea,Thailand,Japan,3,Japan
geography,5,[Set 4] What is the capital of Canada?,Toronto,Ottawa,Vancouver,Montreal,1,Ottawa
geography,6,[Set 4] Which ocean is the deepest?,Atlantic,Indian,Arctic,Pacific,3,Pacific
geography,7,[Set 4] What is the smallest continent by land area?,Europe,Antarctica,Australia,South America,2,Australia
geography,8,[Set 4] Which river flows through London?,Thames,Seine,Danube,Rhine,0,Thames
geography,9,[Set 4] What is the capital of Brazil?,Rio de Janeiro,Brasilia,Sao Paulo,Salvador,1,Brasilia
geography,10,[Set 4] Which country has the most time zones?,Russia,USA,France,China,2,France
space,1,[Set 4] Who was the first human in space?,Neil Armstrong,Yuri Gagarin,Alan Shepard,Buzz Aldrin,1,Yuri Gagarin
space,2,[Set 4] Which planet is known as the Red Planet?,Venus,Jupiter,Mars,Mercury,2,Mars
space,3,[Set 4] How many planets are in our Solar System?,7,8,9,10,1,8
space,4,[Set 4] Who was the first person to walk on the Moon?,Yuri Gagarin,Michael Collins,Buzz Aldrin,Neil Armstrong,3,Neil Armstrong
space,5,[Set 4] Which planet has the most prominent rings?,Saturn,Uranus,Neptune,Mars,0,Saturn
space,6,[Set 4] What is a light-year a measure of?,Time,Distance,Speed,Brightness,1,Distance
space,7,[Set 4] Which planet rotates on its side?,Mars,Jupiter,Uranus,Neptune,2,Uranus
space,8,[Set 4] What is the name of our galaxy?,Andromeda,Milky Way,Triangulum,Centaurus,1,Milky Way
space,9,[Set 4] How long does it take light from the Sun to reach Earth?,8 seconds,8 minutes,8 hours,8 days,1,8 minutes
space,10,[Set 4] What is the hottest planet in our Solar System?,Mercury,Venus,Mars,Jupiter,1,Venus
sports,1,[Set 4] How many players from one football (soccer) team are on the pitch?,9,10,11,12,2,11
sports,2,[Set 4] Where were the 2016 Summer Olympics held?,London,Rio de Janeiro,Tokyo,Beijing,1,Rio de Janeiro
sports,3,[Set 4] Which sport is played at Wimbledon?,Cricket,Badminton,Tennis,Squash,2,Tennis
sports,4,[Set 4] How many rings are on the Olympic flag?,4,5,6,7,1,5
sports,5,"[Set 4] In cricket, how many balls are there in an over?",4,5,6,8,2,6
sports,6,[Set 4] In which sport would you perform a slam dunk?,Volleyball,Basketball,Tennis,Cricket,1,Basketball
sports,7,[Set 4] How many sets are needed to win a womens Grand Slam tennis match?,2,3,4,5,0,2
sports,8,[Set 4] Which country won the 2022 FIFA World Cup?,France,Brazil,Argentina,Germany,2,Argentina
sports,9,[Set 4] What is the diameter of a basketball hoop in inches?,16,18,20,24,1,18
sports,10,"[Set 4] Which sport uses the term ""birdie""?",Tennis,Golf,Badminton,Cricket,1,Golf
movies,1,[Set 4] Who directed Jurassic Park (1993)?,James Cameron,Steven Spielberg,Ridley Scott,George Lucas,1,Steven Spielberg
movies,2,"[Set 4] ""May the Force be with you"" is a quote from which film series?",Star Trek,Star Wars,Dune,The Matrix,1,Star Wars
movies,3,[Set 4] Which actor plays Iron Man in the Marvel films?,Chris Evans,Chris Hemsworth,Robert Downey Jr.,Mark Ruffalo,2,Robert Downey Jr.
movies,4,[Set 4] Which animated film features the character Elsa?,Moana,Tangled,Encanto,Frozen,3,Frozen
movies,5,[Set 4] Which film series features Hogwarts School?,Percy Jackson,Harry Potter,The Hobbit,Twilight,1,Harry Potter
movies,6,[Set 4] What is the name of the fictional country in Black Panther?,Zamunda,Wakanda,Genovia,Latveria,1,Wakanda
movies,7,[Set 4] Which movie features the character Forrest Gump?,Cast Away,Forrest Gump,The Green Mile,Apollo 13,1,Forrest Gump
movies,8,[Set 4] Who played the Joker in The Dark Knight (2008)?,Jack Nicholson,Jared Leto,Heath Ledger,Joaquin Phoenix,2,Heath Ledger
movies,9,"[Set 4] In which film does the character say ""Here is looking at you, kid""?",Casablanca,Gone with the Wind,Citizen Kane,The Maltese Falcon,0,Casablanca
movies,10,[Set 4] Which animated film was Pixars first feature movie?,Finding Nemo,Monsters Inc,Toy Story,A Bug Life,2,Toy Story
music,1,[Set 4] How many strings does a standard guitar have?,4,5,6,7,2,6
music,2,[Set 4] How many symphonies did Beethoven compose?,7,9,11,13,1,9
music,3,[Set 4] Which instrument has 88 keys?,Organ,Accordion,Piano,Harpsichord,2,Piano
music,4,"[Set 4] Which band released the song ""Hey Jude""?",The Rolling Stones,The Beatles,Queen,Pink Floyd,1,The Beatles
music,5,"[Set 4] Who is known as the ""King of Pop""?",Elvis Presley,Prince,Michael Jackson,David Bowie,2,Michael Jackson
music,6,[Set 4] Which country is the band U2 from?,England,Ireland,Scotland,Wales,1,Ireland
music,7,[Set 4] What instrument does a percussionist play?,Violin,Drums,Flute,Cello,1,Drums
music,8,"[Set 4] Which singer is known as the ""Queen of Pop""?",Beyonce,Madonna,Lady Gaga,Taylor Swift,1,Madonna
music,9,[Set 4] How many keys does a standard piano have?,85,88,92,97,1,88
music,10,[Set 4] Which composer became deaf later in life?,Mozart,Bach,Beethoven,Chopin,2,Beethoven
technology,1,"[Set 4] What does ""WWW"" stand for?",World Wide Web,Wide World Web,Web Wide World,World Web Wide,0,World Wide Web
technology,2,[Set 4] Who co-founded Apple along with Steve Jobs?,Bill Gates,Steve Wozniak,Jeff Bezos,Elon Musk,1,Steve Wozniak
technology,3,[Set 4] Which company develops the Android operating system?,Apple,Microsoft,Samsung,Google,3,Google
technology,4,[Set 4] What does CPU stand for?,Central Process Unit,Central Processing Unit,Computer Personal Unit,Central Program Utility,1,Central Processing Unit
technology,5,[Set 4] HTML is primarily used for what?,Styling web pages,Structuring web pages,Database storage,Mobile apps only,1,Structuring web pages
technology,6,"[Set 4] What does ""AI"" stand for?",Automated Intelligence,Artificial Intelligence,Advanced Internet,Applied Informatics,1,Artificial Intelligence
technology,7,"[Set 4] Which programming language is known as the ""language of the web""?",Python,Java,JavaScript,C++,2,JavaScript
technology,8,[Set 4] What year was the first iPhone released?,2005,2006,2007,2008,2,2007
technology,9,"[Set 4] What does ""USB"" stand for?",Universal Serial Bus,Unified System Browser,Ultra Speed Bond,Universal System Buffer,0,Universal Serial Bus
technology,10,[Set 4] Which company owns Instagram?,Twitter,Google,Meta,Snapchat,2,Meta
animals,1,[Set 4] Which is the fastest land animal?,Lion,Cheetah,Horse,Greyhound,1,Cheetah
animals,2,[Set 4] Which is the largest mammal on Earth?,African Elephant,Blue Whale,Giraffe,Orca,1,Blue Whale
animals,3,[Set 4] How many legs does a spider have?,6,8,10,12,1,8
animals,4,[Set 4] What is a group of lions called?,Pack,Herd,Pride,Flock,2,Pride
animals,5,[Set 4] Which is the tallest animal in the world?,Elephant,Camel,Ostrich,Giraffe,3,Giraffe
animals,6,[Set 4] Which animal can sleep for up to 3 years?,Bear,Snail,Turtle,Snake,1,Snail
